,,,,,,,,,,Drop Ship Coordinator Contact Info,,,,
NASS Code,Facility Name,District,Facility Type,BMEU,Dropsite Key,Address,City,State,ZIP Code,Name,Phone,E-Mail,After Hours Number,Active in FAST
21,BOSTON,020-MA-RI,Plant,Yes,EV21507,25 DORCHESTER AVE RM 4025B,BOSTON,MA,22050016,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
23,BROCKTON,020-MA-RI,Plant,Yes,EV21554,225 LIBERTY ST RM 234,BROCKTON,MA,23019701,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
15,CENTRAL,020-MA-RI,Plant,Yes,EV27659,192 MAIN ST,SHREWSBURY,MA,15460001,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
28,PROVIDENCE,020-MA-RI,Plant,Yes,EV25935,24 CORLISS ST REAR DOCK,PROVIDENCE,RI,29049799,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
01Z,SPRINGFIELD NDC,020-MA-RI,NDC,Yes,KV22551,1800 PAGE BLVD,SPRINGFIELD,MA,11529903,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
54,BURLINGTON,040-ME-NH-VT,Plant,Yes,EV28205,8 NEW ENGLAND DR STE 997,ESSEX JUNCTION,VT,54529997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
44,EASTERN MAINE,040-ME-NH-VT,Plant,Yes,EV27348,16 PENOBSCOT MEADOW DR,HAMPDEN,ME,44447097,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
30,MANCHESTER,040-ME-NH-VT,Plant,Yes,EV25570,955 GOFFS FALLS RD STE 997,MANCHESTER,NH,31039997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
40,SOUTHERN MAINE,040-ME-NH-VT,Plant,Yes,E007387,79 POSTAL SERVICE WAY,SCARBOROUGH,ME,40747001,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
